old_slug,action,new_slug,doc_type,redirect,notes
api-reference/v1/introduction,keep,api-reference/v1/introduction,docs,no,3-sentence stub; low-priority: fold into recipes or OpenAPI landing
api-reference/v1/recipes,keep,api-reference/v1/recipes,reference,no,
best-practice/lightdash-way,move,get-started/lightdash-way,guide,yes,philosophy explainer belongs with onboarding
best-practice/planning-your-dashboard,move,explore/plan-your-dashboard,tutorial,yes,dashboard-design explanation; nav under Dashboards; verb-first tutorial
contact/contact-info,move,help/support,reference,yes,absorbs faqs; resolve FAQ destination conflict GitHub-Discussions vs Pylon (#verify)
contact/faqs,merge,help/support,reference,yes,pure external redirect stub
contact/generating-har-file,move,help/generate-har-file,tutorial,yes,verb-first tutorial
dbt-guides/dbt-1.10-migration,move,semantic-layer/dbt/migrate-to-1-10,tutorial,yes,verb-first tutorial
dbt-guides/dbt-fusion-migration,move,semantic-layer/dbt/migrate-to-fusion,tutorial,yes,expand: must state whether lightdash CLI is Fusion-verified (#verify with eng); verb-first tutorial
dbt-guides/dbt-package-lock,merge,semantic-layer/dbt/projects,,yes,"fold into 'dbt packages' section (utils, audit-helper, lock basics)"
get-started/develop-in-lightdash/adding-tables-to-lightdash,move,get-started/build-your-semantic-layer/add-tables-to-lightdash,tutorial,yes,verb-first tutorial; developer track
get-started/develop-in-lightdash/how-to-create-dimensions,move,get-started/build-your-semantic-layer/create-dimensions,tutorial,yes,verb-first tutorial; developer track
get-started/develop-in-lightdash/how-to-create-metrics,move,get-started/build-your-semantic-layer/create-metrics,tutorial,yes,verb-first tutorial; developer track
get-started/develop-in-lightdash/install-skills,move,get-started/build-your-semantic-layer/install-skills,tutorial,yes,developer track
get-started/develop-in-lightdash/intro,move,get-started/build-your-semantic-layer,docs,yes,developer track landing
get-started/exploring-data/dashboards,move,get-started/explore-your-data/build-a-dashboard,tutorial,yes,verb-first tutorial; explorer track
get-started/exploring-data/exploring-your-content,move,get-started/explore-your-data/explore-your-content,tutorial,yes,verb-first tutorial; explorer track
get-started/exploring-data/interactive-dashboards,move,get-started/explore-your-data/interact-with-dashboards,tutorial,yes,verb-first tutorial; explorer track
get-started/exploring-data/intro-metrics-dimensions,move,get-started/explore-your-data/intro-metrics-dimensions,docs,yes,explorer track
get-started/exploring-data/intro,move,get-started/explore-your-data,docs,yes,explorer track landing
get-started/exploring-data/sharing-insights,move,get-started/explore-your-data/share-insights,tutorial,yes,verb-first tutorial; explorer track
get-started/exploring-data/using-explores,move,get-started/explore-your-data/use-explores,tutorial,yes,verb-first tutorial; explorer track
get-started/setup-lightdash/connect-project,move,get-started/quickstart/connect-project,reference,yes,quickstart dir
get-started/setup-lightdash/get-project-lightdash-ready,move,get-started/quickstart/get-project-lightdash-ready,tutorial,yes,quickstart dir
get-started/setup-lightdash/intro,move,get-started/quickstart,docs,yes,the one true Quickstart landing
get-started/setup-lightdash/invite-new-users,move,get-started/quickstart/invite-new-users,tutorial,yes,quickstart dir
guides/ai-agents/agent-memory,move,agents/agent-memory,docs,yes,
guides/ai-agents/agents-as-code,move,agents/agents-as-code,reference,yes,
guides/ai-agents/ai-router,move,agents/enable-ai-router,tutorial,yes,verb-first tutorial
guides/ai-agents/ai-writeback,move,agents/ai-writeback,tutorial,yes,
guides/ai-agents/autopilot,move,agents/autopilot,reference,yes,
guides/ai-agents/best-practices,move,agents/effective-analytics-with-agents,guide,yes,best-practices ban
guides/ai-agents/content-tools,move,agents/enable-content-tools,tutorial,yes,verb-first tutorial
guides/ai-agents/data-access,move,agents/data-access,reference,yes,
guides/ai-agents/deep-research,move,agents/deep-research,reference,yes,
guides/ai-agents/evaluations,move,agents/create-evaluation-suites,tutorial,yes,verb-first tutorial
guides/ai-agents/getting-started,move,agents/set-up-agents,tutorial,yes,verb-first tutorial
guides/ai-agents/mcp-servers,move,agents/connect-external-mcp-servers,tutorial,yes,rename to kill 'MCP servers' vs 'Lightdash MCP' discoverability trap
guides/ai-agents/reviews,move,agents/reviews,reference,yes,
guides/ai-agents/using-ai-agents,move,agents/use-ai-agents,tutorial,yes,verb-first tutorial
guides/ai-agents/verified-answers,move,agents/verified-answers,tutorial,yes,verb-first tutorial; established feature name (noun exception)
guides/ai-agents/visibility,move,agents/visibility,docs,yes,
guides/ai-agents,move,agents,docs,yes,
guides/ai-overview,merge,agents,docs,yes,merge with choosing-ai-workflow: ONE comparison table + decision guide
guides/choosing-ai-workflow,merge,agents,docs,yes,see ai-overview
guides/cli/automate-cli-workflow,move,workflow/set-up-ci-cd,tutorial,yes,"CANONICAL GitHub Actions/secrets setup; compile + reference link here; CI/CD is a workflow tutorial, not a CLI subset"
guides/cli/cli-authentication,move,workflow/cli/authenticate,tutorial,yes,Windows token-login workaround lives here once; install page links; verb-first tutorial
guides/cli/how-to-auto-generate-schema-files,move,workflow/cli/generate,tutorial,yes,
guides/cli/how-to-install-the-lightdash-cli,move,workflow/cli/install,tutorial,yes,absorbs how-to-upgrade-cli; canonical install+update home
guides/cli/how-to-upgrade-cli,merge,workflow/cli/install,tutorial,yes,60w stub duplicating install#updating; redirect to workflow/cli/install
guides/cli/how-to-use-lightdash-deploy,move,workflow/cli/deploy,tutorial,yes,strict-compilation flags -> shared snippet (deploy/validate/lint + reference)
guides/cli/how-to-use-lightdash-lint,move,workflow/cli/lint,tutorial,yes,
guides/cli/how-to-use-lightdash-preview,merge,workflow/preview-projects,docs,yes,preview-projects subsumes it; CLI usage becomes a section there
guides/cli/how-to-use-lightdash-validate,move,workflow/cli/validate,tutorial,yes,'when validation runs' defers to workflow/validating-your-content
guides/configure-charts,move,explore/configure-charts,reference,yes,granularity-placeholder section becomes canonical; chart-type pages link instead of repeating
guides/custom-fields,move,explore/create-custom-fields,tutorial,yes,verb-first tutorial
guides/custom-tooltip,move,explore/configure-custom-tooltip,tutorial,yes,verb-first tutorial
guides/data-apps/external-connections,move,data-apps/external-connections,reference,yes,
guides/data-apps/self-hosting,move,data-apps/self-hosting,reference,yes,
guides/data-apps/themes,move,data-apps/customize-themes,tutorial,yes,verb-first tutorial
guides/data-apps/visualizations,move,data-apps/create-visualizations,tutorial,yes,verb-first tutorial
guides/data-apps,move,data-apps,docs,yes,
guides/date-zoom,move,explore/date-zoom,docs,yes,
guides/developer/agent-skills,move,workflow/install-agent-skills,tutorial,yes,CANONICAL skills install; get-started/build-your-semantic-layer/install-skills stays a teaser link; verb-first tutorial
guides/developer/ai-writeback-self-hosting,move,agents/ai-writeback-self-hosting,reference,yes,pairs with agents/ai-writeback; shared sandbox config defers to self-host sandboxes
guides/developer/caching,move,semantic-layer/caching,docs,yes,canonical caching-vs-pre-aggregates comparison; semantic-layer/pre-aggregates links
guides/developer/cli/how-to-compile-your-lightdash-project,move,workflow/cli/compile,tutorial,yes,drop duplicated GH-secrets walkthrough; link workflow/set-up-ci-cd
guides/developer/dashboards-as-code,split,workflow/content-as-code,reference,yes,"rename (covers charts/dashboards/spaces/agents/roles); split OUT: virtual-views -> semantic-layer/virtual-views, VS Code section -> workflow/set-up-vs-code; disposable-editing section condenses to link -> workflow/edit-dashboards-with-agents"
guides/developer/dbt-model-best-practices,move,semantic-layer/dbt/modeling-strategies,guide,yes,best-practices ban
guides/developer/dbt-write-back,move,semantic-layer/dbt/write-back,tutorial,yes,
guides/developer/editing-dashboards-with-agents,move,workflow/edit-dashboards-with-agents,tutorial,yes,CANONICAL disposable-editing workflow; verb-first tutorial
guides/developer/explores,move,semantic-layer/explores,reference,yes,align slug/title/sidebar (three names today)
guides/developer/filtering-dashboard-in-url,move,explore/filter-dashboard-by-url,tutorial,yes,expand: Loom-only walkthrough needs written steps; verb-first tutorial
guides/developer/preview-projects,move,workflow/preview-projects,docs,yes,absorbs guides/cli/how-to-use-lightdash-preview
guides/developer/pull-requests,move,workflow/pull-requests,reference,yes,
guides/developer/renaming-models-and-fields,move,workflow/rename-models-and-fields,tutorial,yes,verb-first tutorial
guides/developer/sql-runner,move,explore/sql-runner,docs,yes,
guides/developer/timezones,split,workspace-admin/set-project-timezone,tutorial,yes,rewrite target for timezones-draft material; split: personal timezone display half; split: workspace timezone setup half; verb-first tutorial
guides/developer/timezones,split,personal-settings/timezone,docs,no,rewrite target for timezones-draft material; split: personal timezone display half
guides/developer/using-parameters,move,semantic-layer/parameters,reference,yes,CANONICAL parameters schema; tables + lightdash-config-yml link here
guides/developer/validating-your-content,move,workflow/validating-your-content,docs,yes,CANONICAL 'when validation runs' list
