current_slug,current_title,new_slug,new_title,current_description,new_description,note
agents/create-evaluation-suites,Evaluations,-,Create evaluation suites,,,Tutorial: title should be verb-first to match the slug
embed/set-up-embedding,How to embed content,-,Set up embedding,,,"Three names today; sidebar ""Embedding quickstart"" also breaks the quickstart-is-a-singleton rule"
explore/compare-periods,How to do period-over-period analysis in Lightdash,,Period-over-period comparisons,,,"Sentence title, and ""in Lightdash"" is redundant in our own docs"
explore/metrics-catalog,Metrics,,Metrics catalog,,,"Title names the wrong thing — it is the catalog, not metrics"
explore/pin-content,Pinning,explore/pinning,Pinning content,,,"Drops ""content"" from the slug; title already had"
get-started/quickstart/invite-new-users,Inviting teammates to your Lightdash project,,Invite your team,,,Matches existing sidebarTitle -- NEEDS REORG
semantic-layer/explores,Creating tailored tables from a single dbt model,,Explores,,,Sentence title; sidebar says something different again
workflow/cli/generate,Autogenerate Lightdash-ready YAML files for your models,,Generate semantic layer YAML,,,Matches existing sidebarTitle
workflow/cli/authenticate,Authenticating your CLI,,Authenticate the CLI,,,Matches existing sidebarTitle
workspace-admin/sso/setup,Configure SSO,,SSO setup,,,Noun-phrase title to match the slug
